City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Cururupu,BR,2021-09-24 20:52:40,-1.8283,-44.8683,78.96,75,56,4.36
143,Senanga,ZM,2021-09-24 20:47:55,-16.1167,23.2667,71.15,23,0,9.13
144,Namwala,ZM,2021-09-24 20:52:41,-15.7504,26.4384,72.93,32,0,5.46
145,Tuatapere,NZ,2021-09-24 20:52:41,-46.1333,167.6833,49.82,85,71,10.0
146,Codrington,AU,2021-09-24 20:52:41,-38.2667,141.9667,46.51,69,99,12.64
147,Rocha,UY,2021-09-24 20:52:42,-34.4833,-54.3333,56.7,91,64,8.55
148,Dingle,PH,2021-09-24 20:52:42,10.9995,122.6711,76.19,91,25,5.28
149,Sahuaripa,MX,2021-09-24 20:52:42,29.05,-109.2333,86.49,48,100,8.93
150,Bredasdorp,ZA,2021-09-24 20:52:42,-34.5322,20.0403,51.12,82,51,3.44
151,Charlestown,AU,2021-09-24 20:52:23,-32.95,151.6667,65.07,50,0,3.0
152,Hithadhoo,MV,2021-09-24 20:52:43,-0.6,73.0833,82.44,68,100,13.31
153,Camacha,PT,2021-09-24 20:52:43,33.0833,-16.3333,68.76,68,20,5.75
154,Qaanaaq,GL,2021-09-24 20:52:43,77.484,-69.3632,15.04,69,21,7.4
155,Weligama,LK,2021-09-24 20:52:43,5.9667,80.4167,78.28,87,99,14.34
156,Iqaluit,CA,2021-09-24 20:48:34,63.7506,-68.5145,31.73,86,75,13.0
157,Salalah,OM,2021-09-24 20:52:44,17.0151,54.0924,80.01,81,72,4.43
158,Buftea,RO,2021-09-24 20:52:44,44.5614,25.9489,63.63,62,0,4.61
159,Geneva,US,2021-09-24 20:52:29,41.8875,-88.3054,80.87,38,44,11.99
160,Airai,TL,2021-09-24 20:52:44,-8.9266,125.4092,57.02,82,56,1.63
161,Moron,AR,2021-09-24 20:52:44,-34.6534,-58.6198,67.01,53,12,5.01
162,Bonfim,BR,2021-09-24 20:52:45,3.0833,-59.95,89.08,55,100,3.69
163,Fuerte Olimpo,PY,2021-09-24 20:52:45,-21.0415,-57.8738,94.14,24,42,5.91
164,Sitka,US,2021-09-24 20:48:29,57.0531,-135.33,55.29,67,75,10.36
165,Aswan,EG,2021-09-24 20:52:45,24.0934,32.907,88.9,25,0,12.66
166,Bobcaygeon,CA,2021-09-24 20:52:45,44.5462,-78.542,59.63,76,100,8.9
167,Boundiali,CI,2021-09-24 20:52:46,9.5217,-6.4869,75.52,81,51,2.89
168,Victoria,HK,2021-09-24 20:48:24,22.2855,114.1577,84.38,82,17,5.99
169,Floro,NO,2021-09-24 20:52:46,61.5996,5.0328,52.5,93,75,17.27
170,Norman Wells,CA,2021-09-24 20:52:46,65.282,-126.8329,39.24,81,90,6.91
171,Vestmanna,FO,2021-09-24 20:52:47,62.1564,-7.1664,41.92,87,90,1.14
172,Mogadishu,SO,2021-09-24 20:52:47,2.0371,45.3438,77.45,85,100,18.16
173,Isangel,VU,2021-09-24 20:52:47,-19.55,169.2667,69.91,78,99,3.44
174,Santo Antonio Do Sudoeste,BR,2021-09-24 20:52:47,-26.0736,-53.7253,70.88,60,0,7.25
175,Marzuq,YE,2021-09-24 20:52:48,14.4,46.4667,76.5,52,93,3.65
176,Mahibadhoo,MV,2021-09-24 20:52:48,3.7833,72.9667,80.22,70,100,7.76
177,Olinda,BR,2021-09-24 20:52:48,-8.0089,-34.8553,78.53,69,40,12.66
178,Casa Grande,US,2021-09-24 20:52:48,32.8795,-111.7573,90.61,28,98,10.27
179,Governador Dix-Sept Rosado,BR,2021-09-24 20:52:49,-5.4577,-37.5209,84.04,63,20,17.2
180,Olafsvik,IS,2021-09-24 20:52:49,64.8945,-23.7142,43.29,67,96,21.56
181,The Pas,CA,2021-09-24 20:52:49,53.8251,-101.2541,53.62,66,90,19.57
182,Kavieng,PG,2021-09-24 20:52:49,-2.5744,150.7967,82.85,73,19,13.13
183,Yarada,IN,2021-09-24 20:52:49,17.65,83.2667,80.92,100,75,2.3
